i,gravid,classe
8.416754,35.6856,2
8.72589,35.6856,2
0.0,35.6856,2
8.733333,35.6856,2
1.747626,35.6856,2
-6.541057,35.6856,2
-2.937162,35.6856,2
-0.0,35.6856,2
8.733333,35.6856,2
8.733333,35.6856,2
-7.870026,35.6856,2
8.733333,35.6856,2
8.646395,42.5452,2
2.430914,35.6856,2
8.562789,35.6856,2
-8.669496,35.6856,2
-0.0,35.6856,2
8.69004,35.6856,2
6.42272,35.6856,2
8.733333,35.6856,2
-0.0,35.6856,2
0.0,35.6856,2
8.733333,35.6856,2
8.733333,35.6856,2
4.982862,35.6856,2
5.854899,35.6856,2
8.700974,35.6856,2
-0.0,35.6856,2
4.748462,35.6856,2
-6.274239,35.6856,2
3.704673,35.6856,2
-4.828968,35.6856,2
-3.984177,37.5735,2
0.0,35.6856,2
-4.333333,35.6856,2
8.733333,35.6856,2
5.728301,35.6856,2
3.509007,35.6856,2
8.552795,35.6856,2
-4.346551,35.6856,2
4.691008,35.6856,2
4.833042,35.6856,2
8.509907,35.6856,2
7.387691,35.6856,2
-4.352375,35.6856,2
-0.0,35.6856,2
0.999438,35.6856,2
4.726229,35.6856,2
6.63848,35.6856,2
8.617869,35.6856,2
-4.130052,35.6856,2
5.011175,35.6856,2
4.747456,35.6856,2
-4.339555,35.6856,2
-4.401719,35.6856,2
0.856096,35.6856,2
8.733333,35.6856,2
1.488913,35.6856,2
4.666667,35.6856,2
0.0,35.6856,2
8.646427,35.6856,2
-4.410221,35.6856,2
-0.0,35.6856,2
4.878965,35.6856,2
8.654423,35.6856,2
8.733333,35.6856,2
3.408028,35.6856,2
-4.408636,35.6856,2
0.0,35.6856,2
-4.412917,35.6856,2
8.678967,35.6856,2
-5.426449,35.6856,2
8.599018,35.6856,2
-8.457627,35.6856,2
8.733333,35.6856,2
4.699808,35.6856,2
-4.35902,35.6856,2
-4.406177,35.6856,2
-0.0,35.6856,2
1.245285,35.6856,2
-0.0,35.6856,2
8.500816,35.6856,2
2.229693,35.6856,2
4.666667,35.6856,2
8.733333,35.6856,2
0.794381,35.6856,2
8.59504,35.6856,2
6.968751,35.6856,2
3.332657,35.6856,2
4.666667,35.6856,2
-4.333333,35.6856,2
-4.409025,35.6856,2
4.666667,35.6856,2
8.622435,35.6856,2
8.655717,35.6856,2
-4.373609,38.2306,2
2.645752,35.6856,2
-0.0,35.6856,2
0.0,35.6856,2
-0.0,35.6856,2
-4.339415,35.6856,2
8.719198,35.6856,2
3.119855,35.6856,2
-0.0,35.6856,2
0.0,35.6856,2
4.66711,35.6856,2
-5.393194,35.6856,2
4.744786,35.6856,2
5.396578,35.6856,2
8.669639,35.6856,2
-0.0,35.6856,2
-4.344878,35.6856,2
-4.385618,35.6856,2
8.733333,35.6856,2
0.0,35.6856,2
8.733333,41.9438,2
4.666667,35.6856,2
8.733333,35.6856,2
-4.333333,35.6856,2
4.685234,35.6856,2
-4.333333,35.6856,2
8.733333,35.6856,2
-4.401856,35.6856,2
5.552935,35.6856,2
8.447607,35.6856,2
8.733333,35.6856,2
-7.762508,35.6856,2
4.778407,35.6856,2
-4.415686,35.6856,2
8.470195,54.3939,2
-0.0,35.6856,2
8.733333,35.6856,2
-4.349256,35.6856,2
-4.713469,35.6856,2
-6.491008,35.6856,2
-8.731681,35.6856,2
8.733333,35.6856,2
3.29414,41.0797,2
-0.0,35.6856,2
-4.576871,35.6856,2
8.426321,35.6856,2
4.682613,35.6856,2
-0.0,35.6856,2
