i,gravid,classe
8.416754,19.5399,1
8.72589,19.5399,1
0.0,19.3189,1
8.733333,18.0238,1
1.747626,14.8146,1
-6.541057,37.2433,2
-2.937162,15.0322,1
-0.0,16.8912,1
8.733333,19.3189,1
8.733333,37.1182,2
-7.870026,19.3189,1
8.733333,14.8375,1
8.646395,47.4571,2
2.430914,14.6849,1
8.562789,37.7854,2
-8.669496,16.7654,1
-0.0,14.5051,1
8.69004,19.5399,1
6.42272,14.6917,1
8.733333,17.4984,1
-0.0,14.6989,1
0.0,16.7031,1
8.733333,14.8146,1
8.733333,18.0238,1
4.982862,16.8912,1
5.854899,19.3189,1
8.700974,19.5399,1
-0.0,15.0376,1
4.748462,14.776,1
-6.274239,18.0238,1
3.704673,14.6989,1
-4.828968,14.5013,1
-3.984177,22.1264,1
0.0,17.4984,1
-4.333333,14.8375,1
8.733333,18.0238,1
5.728301,17.7466,1
3.509007,14.8146,1
8.552795,37.3252,2
-4.346551,14.8375,1
4.691008,16.7654,1
4.833042,14.6989,1
8.509907,37.8471,2
7.387691,15.0322,1
-4.352375,14.6796,1
-0.0,17.2268,1
0.999438,19.3189,1
4.726229,14.6917,1
6.63848,37.2302,2
8.617869,36.5884,2
-4.130052,16.7654,1
5.011175,17.7466,1
4.747456,14.8434,1
-4.339555,14.6917,1
-4.401719,19.3189,1
0.856096,15.3569,1
8.733333,14.8146,1
1.488913,14.5051,1
4.666667,14.705,1
0.0,18.0238,1
8.646427,14.5051,1
-4.410221,14.6796,1
-0.0,14.5013,1
4.878965,17.2268,1
8.654423,14.8146,1
8.733333,16.8277,1
3.408028,14.5682,1
-4.408636,14.6971,1
0.0,14.8383,1
-4.412917,14.8375,1
8.678967,36.9901,2
-5.426449,19.5399,1
8.599018,17.7466,1
-8.457627,17.4984,1
8.733333,17.6119,1
4.699808,17.6119,1
-4.35902,19.3189,1
-4.406177,17.7466,1
-0.0,19.5399,1
1.245285,32.0445,2
-0.0,14.726,1
8.500816,14.5629,1
2.229693,14.6805,1
4.666667,14.6989,1
8.733333,19.5399,1
0.794381,17.4984,1
8.59504,37.7854,2
6.968751,15.0376,1
3.332657,17.4984,1
4.666667,14.5013,1
-4.333333,14.8375,1
-4.409025,14.705,1
4.666667,15.0376,1
8.622435,18.0238,1
8.655717,36.8845,2
-4.373609,20.8847,1
2.645752,16.7654,1
-0.0,17.2268,1
0.0,14.6805,1
-0.0,19.3189,1
-4.339415,14.8434,1
8.719198,14.6989,1
3.119855,14.8375,1
-0.0,18.0238,1
0.0,17.4984,1
4.66711,17.7466,1
-5.393194,16.7654,1
4.744786,19.3189,1
5.396578,14.6989,1
8.669639,36.8923,2
-0.0,14.6805,1
-4.344878,14.8383,1
-4.385618,19.3189,1
8.733333,14.8434,1
0.0,16.7031,1
8.733333,46.5072,2
4.666667,15.0376,1
8.733333,19.3189,1
-4.333333,14.776,1
4.685234,19.3189,1
-4.333333,14.5051,1
8.733333,17.2268,1
-4.401856,14.6989,1
5.552935,17.4984,1
8.447607,14.6917,1
8.733333,19.5399,1
-7.762508,37.0926,2
4.778407,14.5013,1
-4.415686,14.8375,1
8.470195,63.6123,3
-0.0,14.6796,1
8.733333,37.8471,2
-4.349256,17.4984,1
-4.713469,15.7881,1
-6.491008,14.5051,1
-8.731681,17.4984,1
8.733333,19.3189,1
3.29414,31.7518,2
-0.0,14.8146,1
-4.576871,14.6796,1
8.426321,37.7854,2
4.682613,16.7031,1
-0.0,19.5399,1
4.667353,14.8375,1
4.773039,19.5399,1
-8.698303,14.8146,1
-4.395341,14.6796,1
-4.421942,15.0376,1
0.0,14.6805,1
-4.397278,14.6796,1
4.733943,14.8146,1
-8.723702,36.9437,2
8.733333,17.7466,1
8.733333,19.3189,1
4.666667,17.4984,1
4.443272,14.705,1
-0.0,16.7031,1
8.733333,16.7654,1
0.0,15.0322,1
-4.333333,14.6917,1
8.631714,36.2724,2
4.807981,14.9731,1
-8.465044,36.8712,2
-0.0,14.6796,1
-8.656889,37.8471,2
-4.333333,19.5399,1
8.733333,45.0576,2
8.733333,36.9437,2
4.666667,14.6849,1
-8.712788,17.7466,1
-4.390138,14.6917,1
4.712156,14.8146,1
8.733333,17.2268,1
-4.333333,14.8375,1
0.0,19.3189,1
-5.287506,19.5399,1
4.733317,14.8375,1
4.65034,19.3189,1
4.729755,19.5399,1
4.686898,14.6989,1
4.675953,31.4735,2
1.986337,16.8277,1
8.691939,14.5013,1
-4.353895,16.7654,1
3.917318,17.6119,1
-4.432139,14.8146,1
4.788694,16.7654,1
-0.0,14.8434,1
5.730405,19.3189,1
-8.646687,37.065,2
8.733333,16.7654,1
8.591082,19.3189,1
4.666667,14.6849,1
-0.0,14.6971,1
-0.0,14.8146,1
2.783609,15.9238,1
4.666667,14.8375,1
4.666667,34.2252,2
8.622516,14.6989,1
7.138067,37.065,2
4.722442,14.6989,1
4.842267,19.5399,1
8.733333,14.8146,1
-0.0,19.5399,1
4.702901,14.5013,1
8.733333,19.5399,1
8.733333,14.6805,1
-0.0,19.5399,1
4.637416,19.5399,1
3.652608,14.6971,1
-4.367224,16.7654,1
2.39923,14.8146,1
-0.0,19.5399,1
-5.18921,14.6805,1
8.480898,37.8471,2
-4.35739,19.3189,1
-4.387815,14.6805,1
-8.685328,37.3252,2
-8.518058,16.7654,1
3.545085,14.4334,1
3.112274,19.3189,1
8.733333,19.5399,1
-0.0,19.5399,1
0.0,14.5013,1
8.733333,18.0238,1
8.733333,15.0376,1
1.275113,16.7654,1
-4.333333,17.4546,1
-4.906569,14.8375,1
4.250577,14.8146,1
4.666667,19.5399,1
-4.417639,14.6849,1
2.79186,14.6805,1
6.763737,19.3189,1
-4.37879,14.6917,1
0.0,15.0376,1
2.014211,14.6805,1
-0.605884,16.8912,1
-0.0,14.8146,1
-0.0,14.8434,1
-4.333333,16.7654,1
-4.417692,17.4984,1
8.474022,37.1182,2
-4.333333,14.705,1
8.709013,14.5051,1
8.386298,17.7466,1
4.666667,15.0376,1
4.004306,19.5399,1
-4.393473,31.4832,2
4.093703,14.6917,1
8.733333,17.7466,1
2.501977,17.2268,1
-0.0,15.0376,1
-4.387274,17.4546,1
4.666667,15.0322,1
-0.0,19.5399,1
4.994528,19.5399,1
4.791327,14.8146,1
-0.0,17.2268,1
8.733333,19.5399,1
-4.333333,15.0322,1
8.733333,17.4984,1
8.682577,19.3189,1
8.725645,17.7466,1
-4.37518,14.776,1
-4.417573,14.6796,1
4.667477,14.6989,1
5.01192,14.5051,1
-4.336434,15.0376,1
7.517348,37.1593,2
-4.333333,14.8146,1
4.743951,18.0238,1
-0.0,14.7257,1
8.621426,14.8146,1
7.034624,36.9586,2
8.733333,27.5777,2
8.733333,14.8146,1
4.666999,19.5399,1
5.963657,14.6989,1
-4.415092,18.0238,1
-4.333333,14.5051,1
4.891346,14.6805,1
-0.0,19.3189,1
-0.0,14.5051,1
8.733333,37.7854,2
4.670331,14.6989,1
4.677275,19.5399,1
8.733333,17.2268,1
8.733333,19.3189,1
4.667368,19.5399,1
-4.349674,17.2268,1
0.0,19.5399,1
8.733333,37.1379,2
0.0,19.5399,1
4.034649,19.5399,1
-6.656512,14.8434,1
8.733333,37.8471,2
6.865588,17.7466,1
-0.0,14.8375,1
-0.0,17.4984,1
-8.73195,14.6796,1
2.363371,16.8277,1
-6.448771,38.0734,2
-4.333333,14.8146,1
4.18135,16.7654,1
-4.867694,14.6989,1
8.499824,14.6796,1
8.733333,19.5399,1
7.62125,14.8375,1
-4.335593,14.6796,1
4.75852,16.8912,1
2.524395,14.8434,1
8.733333,36.8712,2
4.733045,17.4546,1
8.733333,37.7755,2
4.672405,14.8146,1
4.701824,19.3189,1
8.733333,14.8146,1
-5.696687,17.4984,1
-4.392733,19.5399,1
-4.344476,19.3189,1
4.804777,15.0322,1
8.733333,14.776,1
8.733333,37.7854,2
-4.333333,14.6989,1
4.352674,14.6989,1
4.675625,15.3569,1
-0.0,16.7031,1
-0.0,19.5399,1
-0.0,17.4984,1
-1.951158,14.8434,1
3.281526,14.6917,1
0.0,14.6805,1
8.733333,17.4984,1
-4.349131,15.0322,1
0.0,17.4984,1
-0.0,19.3189,1
-8.61573,17.4984,1
3.670288,14.5051,1
-0.0,14.9731,1
8.558065,14.6796,1
8.733333,14.8375,1
-5.603341,19.3189,1
8.723248,17.2268,1
-4.064259,14.6849,1
2.595292,19.5399,1
-0.0,15.0367,1
8.589238,36.9948,2
-0.0,14.705,1
8.733333,14.6805,1
-1.716641,14.776,1
6.107471,17.4984,1
4.776906,15.0367,1
4.666667,14.8146,1
5.925301,37.9667,2
1.620369,14.6796,1
-8.382377,19.5399,1
-4.396324,14.6805,1
8.733333,14.6989,1
-5.031883,19.5399,1
-4.674273,17.2268,1
4.666667,14.8146,1
8.733333,14.8146,1
0.492529,14.8375,1
-4.354706,22.1092,1
4.791359,14.5051,1
3.000849,16.7654,1
8.733333,14.7152,1
-4.777244,14.6989,1
